age,gender,education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mothers_specific,fathers_specific,children_specific
21,M,16,negative events,busy lives,negative life events can lead people to feel sad or anxious,busy lives can cause people to feel disconnected from themselves and others,food,technology,responsibilities,children,children,negative life events
21,M,16,social media,COVID-19,"leads to people comparing themselves to the best version of others online, leading to an unrealistic standard for themselves that can never be met",people being stuck inside without physical human interaction led to people feeling isolated and causing mental health issues,ease of connecting with others,modern technology,polarization created through Internet and anonymity,social media allowing comparison of their maternal skills to that of others,societal standards set on men about what parenting should look like,constant comparisons to other children
21,M,16,chasing success,stagnation,"In my opinion the leading cause is a pressure to succeed in life. We have been brought up by our parents and peers to believe that we must work hard in order to be successful, and usually this success is in terms of monetary success. As a result, we grow up feeling like we are failures unless we do well in school and get into a good college so that we can ""do something with our lives."" Being interested in the arts or not being very educationally successful is frowned upon, even if you yourself find happiness in other things. We start to develop these feelings of being useless and not good enough, purely because we've been taught what is considered good and not good.","I think the second leading cause is closely related to this. In many cases, we bite the bullet and make it through our schooling and get that degree. Yet, our problems don't go away, as we now are in a field we have no motivation for or interest in. We start living out our 20's and 30's doing something we hate and sometimes this causes us to feel like our life is a waste. If one can't find happiness in what they do, what is the reason they are even doing it in the first place? We start to feel like its now too late to change and so we are stuck in an uncomfortable and painful situation which impacts our mental health.",free will,ability to form social relationships,societal pressures,"Pressure to raise, and provide for, a child and fear that they might turn out ""unsuccessful""","Pressure to raise, and provide for, a child and fear that they might turn out ""unsuccessful""",Pressure to succeed (both socially and economically)
21,M,17,social media,no empathy,Social media can cause polarization and make people feel bad through comparisons to others.,"People are very set in their ways and polarized, have little empathy for others who don’t think like them, causing them to be very aggressive.",lots of accessible information,freedom,politics,social media,social media,social media
17,F,13,COVID-19,social media,quarantining led to many people feeling isolated and depressed,constantly being confronted with unrealistic expectations since ppl only post the best parts of themselves,food,sleep,societal expectations,the need to balance a successful career while also managing a family without much support from corporations (or even sometimes their own husbands),assumptions that they cannot be as involved with the care of their children as the mother,(sometimes unrealistic) expectations set by society and their parents
21,F,16,stress,societal pressure,the responsibilities of life and juggling different things may lead to anxiety and depression,comparisons to other people and expectations can cause feelings of inferiority ,freedom,meeting/being with other people,"people who are misogynistic, racist, etc",home life responsibilities / post partum depression ,work,school
21,F,16,information overload,societal pressure,"I think the wide network of information people currently has has led to the collective increase in mental health issues because it gives people much more access to the negative things that happen around them. People are aware of many more beauty trends to feel insecure about, more negative news on what is happening around, etc. ","A secondary cause may be the added pressures in todays world to be successful and wealthy. I know a lot of people who struggle with academic pressure and academic validation, and the pressure to get into a good college or get a good career by doing well in everything weighs on a lot of people heavily. ",opportunities,meeting many different types of people,people are quick to hate and fight,"The stereotypes about mothers being too emotional, or weak, or incapable of work, or needing to raise their children in a societally accepted way. ","Having to live up to expectations of being strong, doing the work, being ""the man"". ","Also expectations, whether from society or from parents, the idea that they need to be perfect visually, academically, extracurricularly, etc. to live a good life. "
21,F,16,social media,COVID-19,social media creates unrealistic expectations,COVID-19 has isolated people,easy access to communication,advanced technology,industrialization,societal expectations for women,societal expectations for men,mass media
17,F,13,stress,imposter syndrome,"I feel like the societally accepted amount of stress we put on people is part of the problem. There are way too many things we expect people to do in today's world, in addition to the added stress people add on themselves which lead to mental health problem.","Additionally, I think imposter syndrome also adds to it. Hard to feel like you contribute something to society when you have imposter syndrome. ",access to technology to innovate,good food,mass genocide,not feeling appreciated,feeling like they have an emotional distance between themselves and their children,school
21,F,16,societal pressures,social media,"Pressure from society, friends, and/or family can cause people to feel like they are a failure in one way or another, and can contribute to feelings of depression and anxiety.",Social media presents and creates unrealistic expectations and depictions of how others live and how we should.,freedom,ability to connect with others,irresponsible people in power,"unrealistic expectations for all of the roles they need to balance (mother, employee, wife, etc)",harmful expectations for men (like toxic masculinity),societal pressures
